SMILES,He,H2,N2,O2,CO2,CH4,URL,
*c1nc2cc(C(c3ccc4oc(-c5cc(C(c6ccc(O)c(*)c6)(C(F)(F)F)C(F)(F)F)ccc5O)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,2647,4194,284,1092,4201,151,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1nc2cc(C(c3ccc4oc(-c5cc(C(c6ccc(O)c(*)c6)(C(F)(F)F)C(F)(F)F)ccc5O)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,356,408,19,81,398,12,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1ccc(O)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,1656,3612,431,1306,5568,252,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1ccc(O)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,1775,3585,350,1354,5903,260,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1cc(N2C(c3c(C2=O)cc(C(C(F)(F)F)(C(F)(F)F)c4cc(C(N(C5=O)*)=O)c5cc4)cc3)=O)ccc1,46,,0.32,2.3,9.2,0.12,https://linkinghub.elsevier.com/retrieve/pii/S0376738815004998,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)c6c5C5c7ccccc7C6c6ccccc65)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,78,,0.6,4.2,16,0.17,https://linkinghub.elsevier.com/retrieve/pii/S0376738815004998,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)c6c5C5c7ccccc7C6c6ccccc65)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,157,,3.7,18,78,1.7,https://linkinghub.elsevier.com/retrieve/pii/S0376738815004998,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)c6c5C5c7ccccc7C6c6ccccc65)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,221,,7.1,34,142,3.8,https://linkinghub.elsevier.com/retrieve/pii/S0376738815004998,
*c1cc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(O)cc1O,90,,0.89,5.1,18,0.19,https://linkinghub.elsevier.com/retrieve/pii/S0376738815004998,
*c1cc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(O)cc1O,123,,4,22,92,1.5,https://linkinghub.elsevier.com/retrieve/pii/S0376738815004998,
